recommendationid,language,review,voted_up,timestamp_created,timestamp_updated,author.playtime_forever,author.playtime_at_review,steam_purchase,received_for_free,votes_up,votes_funny,weighted_vote_score,comment_count
225183029,schinese,太jb爽了，我说万能宝石是神,True,1778404732,1778404732,617,589,True,False,0,0,0.5,0
225182883,english,"If you Love Vampire Survivors, then you NEED to get this game. It's a perfect companion to VS and just as addicting. You won't regret it!",True,1778404550,1778404550,1114,1054,True,False,0,0,0.5,0
225182507,schinese,hao wan,True,1778404111,1778404111,532,532,True,False,0,0,0.5,0
225181819,schinese,爽游，给我玩射了,True,1778403369,1778403369,532,490,True,False,0,0,0.5,0
225181391,english,Good game,True,1778402871,1778402871,1629,1629,True,False,0,0,0.5,0
225180350,english,"Really good Dungeon Crawler.

Some positives
+ Fun gameplay and combos 
+ Great mechanics to break the game, really fun to to as well 
+ Achievement completion makes sense and does not take an insane amout of time 
+ Good OST

Some negatives
- A bit to easy (overall)
- No reason to keep playing after completion, I think the game is just to predicable to keep on playing",True,1778401731,1778401731,1301,1301,True,False,0,0,0.5,0
225180208,english,"Devs absolutely knocked it out of the park again with this one.  I'm not usually that big into deck builders, but it doesn't even really feel like a traditional deck builder while playing it.  It feels like Vampire Survivors, just different.  And just as addictively fun.",True,1778401542,1778401542,830,830,True,False,0,0,0.5,0
225179935,schinese,很爽,True,1778401190,1778401190,1223,1223,True,False,0,0,0.5,0
225178921,brazilian,COMO EU TERMINO MEU TURNO?,True,1778399975,1778399975,1117,1117,True,False,0,0,0.5,0
225178771,english,"[b]Vampire Crawlers[/b] managed to capture the same dopamine-fueled loop of constant progression, unlocks, and escalating power of Vampire Survivors while reworking it into something with its own identity through card mechanics and turn-based battles.

The game's progression systems are one of its biggest strengths. Unlocks happen at a constant pace, with new cards, systems, upgrades, characters, and mechanics being introduced frequently enough to keep the experience engaging across its entire runtime.

Combat design is surprisingly clever as well. Infinite combos are kept under control through systems like card cracking and bosses eventually forcing their turn after enough actions, preventing runs from becoming completely automated while still allowing broken builds to exist. The Bridge mode deserves special mention too, since it heavily encourages early-game tempo strategies instead of infinite late-game scaling, helping diversify the gameplay loop and keeping things fresh.

Overall, Vampire Crawlers proves that the success of Vampire Survivors was not simply lightning in a bottle. The developers clearly understand how to build satisfying progression loops and rewarding power fantasies, while still introducing enough new ideas to justify the game's existence. If you're a fan of their previous entry, chances are you'll also enjoy this one.


[h1]The Good[/h1]
+ Excellent meta progression pace with constant unlocks and upgrades after every run
+ Failed runs still feel rewarding thanks to meaningful progression outside of victories
+ Game prevents infinite combos from trivializing the game while still allowing powerful builds
+ Bridge stages are a great addition that encourage different strategies
+ Knowledge from Vampire Survivors is rewarded through things like evolutions
+ Game has just the right amount of content and does not overstay its welcome
+ You can ""break the game"" after enough investment, just like their previous entry
+ Most achievements unlock naturally through progression and are all very reasonable


[h1]The Neutral[/h1]
* Like Vampire Survivors, the game can become fairly trivial once you fully understand the systems, though experimenting with weaker builds and characters helps keep things fresh


[h1]The Bad[/h1]
- Character balance is not great, with some characters feeling way stronger than others
- Coin Count completely outdamages other options by a huge margin in the endgame


[i]Vampire Survivors FPS next xDD[/i]
[h2]9 / 10 - IGN[/h2]",True,1778399754,1778400842,1795,1795,True,False,0,0,0.5,0
225178667,schinese,战斗爽,True,1778399610,1778399610,373,371,True,False,0,0,0.5,0
225178594,schinese,太好了居然是智力1也可以玩的卡牌游戏,True,1778399525,1778399569,545,545,True,False,0,0,0.5,0
225177882,schinese,像素卡牌恶魔城，感觉比恶魔城上头,True,1778398629,1778398629,458,458,True,False,0,0,0.5,0
225177213,english,"Having completely destroyed Vampire Survivors, I was curious and hopeful as to what poncle would produce next. Surprisingly, they asset reassembled a game that was completely different, identical, familiar, and addictingly engrossing. Perfect price for the amount of 100% achievable game that you receive and yet.. you will pine for more. I hate that I am done already. 

This game as challenging or game-breaking as you want to make it. You can find a happy balance between both with the enabling/disabling of certain upgrades and character builds. There are a lot of unlockables to discover and purchase with the spoils of war. The soundtrack is pretty good, catchy, and keeps things moving. Bugs are near non-existent as far as my personal experience goes, I only encountered one that was a soft lock. I was able to stop and restart the round without quitting and relaunching. The graphics are sprite based, SNES mode-7 type that is good enough to get the job done, this game is about gameplay and convincing yourself to stop after playing 4 hours straight. It doesn't need to look like Cyberpunk 2077 to get the point. There isn't a story. This is about figuring out how to destroy the vampiric hoard using the incantations of cards in a delightful rhythm of ascendingly powerful combos and keeping them going for as long as possible..  and it is ABSOLUTELY A BANGER. 

MAKE AN EXPANSION, MAKE A SEQUEL AND MAKE IT SOON!",True,1778397738,1778397738,1845,1845,True,False,0,0,0.5,0
225176978,japanese,神ゲー,True,1778397465,1778397465,1373,1223,True,False,0,0,0.5,0
225176708,english,vAEEMPERIRE,True,1778397131,1778397131,679,679,False,False,0,0,0.5,0
225176030,english,"It’s a lovely game so far. I like the unlocks, the power ups/ramping builds, and achievements.",True,1778396240,1778396240,386,386,True,False,0,0,0.5,0
225175900,english,I play pot of vampires and DRAW 3 ADDITIONAL CARDS!,True,1778396098,1778396098,138,138,True,False,0,0,0.5,0
225175176,english,Well this game was a blast for 9 hours. My computer froze and upon restart my save data was corrupted. I lost all my progress. Was really fun while it lasted.,True,1778395176,1778395176,557,557,True,False,0,0,0.5,0
225174331,german,"I thought it couldn't be as addictive as Vampire Survivors, but it quickly clawed me in. After hunting down all the achievements and building insane combos with an overflown hand i am so intrigued on what else lies ahead of us. Me likey",True,1778394057,1778394057,4377,4349,False,False,0,0,0.5,0
225174290,schinese,！？爽爽？！,True,1778393995,1778393995,1645,1608,True,False,0,0,0.5,0
225173729,schinese,666,True,1778393271,1778393271,490,433,True,False,0,0,0.5,0
225173447,english,"I can't believe this is literally the same game, but also not. Wow. Love it.",True,1778392866,1778392866,524,524,True,False,0,0,0.5,0
225172733,schinese,"爽的嘞，从拿到金币加伤的那一刻开始就跟开了风灵月影一样，红死神来了也得乖乖变成刷金币的rbq。不限制玩家用某种玩法已经赢隔壁太多
操作难度：简单易上手，新手也能爽
玩法多样性：15角色加一隐藏，每局最多能带三个角色，有靠角色被动打某一色系牌的流派，也有靠宝石打伤害的流派，发售至今也就个把月，各种玩法开发潜力还是很大的，不过确实能感觉到通关之后，一些流派在各种道具i加持下强的超模。我的意思是赶紧加强其他玩法的强度
游玩时长：大概15小时左右能通关，剩下几个小时都是在刷成就。成就完成难度并不高，但是重复性比较高，刷多了吧总感觉有点麻，不刷吧就那一两个就能全成就，不刷总有点心痒难耐
缺点：1.各种统计在局内看不到，比如出牌数又或者是某种怪的杀敌数，偏偏这些跟成就解锁有关，只能闷着头多打多杀；
2.图标信息不明，对没玩过吸血鬼幸存者的玩家尤甚。就比如右上角会显示局内加攻的图标是片叶子？？？我的建议是至少在玩家把鼠标停留在相应图标位置时，有个浮窗显示下加攻了xx%
3.牌堆在手里多了之后出牌很麻烦，一方面需要鼠标离开手牌区域，手牌才会刷新，而且手牌是完全按照加入手牌的顺序排列的，也没有筛选或者排序的功能；另一方面牌多了，每张牌只会显示耗法力值那一小块地方，需要玩家不停划拉去看牌。最好还是在后续更新中加入筛选牌和给牌排序的功能吧

总的来说值得一玩，未来可期，瑕不掩瑜。尤其是能接受像素画风的玩家，推荐入手",True,1778391920,1778391920,1367,1367,True,False,0,0,0.5,0
225172489,english,"""Vampire Survivors, but it's a deck builder""
Primo facie, looks pog af as the kids say (or so I am told). And for a while, it can feel like that.
But then... what... how... am I bored? 
I am. Same old reason: I am not dying. 
As I progress, how to build the deck becomes pretty clear: you make near infinite with draw and energy generation, and when you've played 20 cards you play your big attack and everything dies. What weapon? Doesn't matter (at all). Just play 20 cards before.
The game has a sorry excuse of a mechanic to prevent you from doing a real infinite. It doesn't matter, it's not needed, but you absolutely need to do the near infinite 20 cards thing (which is trivially easy) because no attack will beat the creeps scaling without the (single) combo that is playing cards in order (with bridge cards).
And for a game the demands that, and only that from the player it's UI is surprisingly bad. Because you can't have a very small deck, as the game forces you to take cards (but give you upgrades at the hub to limit how much ends up in your deck) and you need to draw but there is no hand limit, so instead you have very large hands of 20 cards that are painful to navigate and pick. And all you do in the game is trying to click those cards.

After a while it gets really boring.  It's too bad, because with a challenge and game mechanics designed by someone who has beaten ascencion 0 in Slay the Spire, this coud have been quite good. But as it is it feels more like a prototype of a game than an actual one gameplay wise. Which isn't the case of pretty much everything else - art and audio are on point (for this style of game) and the game never crashed. 

Or just as well, maybe this could never have worked. The idea that you could transpose the mess of the orginal games, which is a dumbed down shoot em up, into a deck building game is possiblyhitting a wall here. The original games worked because it was fast, zen, and a frankly silly. This doesn't plug that well in the actual experience of creating a combo deck. For context I relaunched the original game and yup, it's dumb but it's at least a bit challenging and it's fun. This one is less fun. Compelling (it's still a dopamine progression racket, I completed the game) but down the line makes you hate yourself for playing it.",False,1778391609,1778391956,1303,1303,True,False,0,0,0.456273764371871948,0
225172476,english,"If you like deckbuilding games, Vampire Survivors, and crawling, this is the game for you. Just beat it, still plenty of grind space if I want to max things out but this was satisfying. Looking forward to seeing if they do all content imports from VS. Especially Ode to Castlevania.",True,1778391595,1778391595,2304,2304,True,False,0,0,0.5,0
225172024,schinese,非常上头的小游戏，虽然深度浅但是爽，价格实惠非常推荐尝试。不过我感觉还有一些不足的地方，比如说宝箱经常放在最内侧，导致转向之后看不见；增加生命值上限却没有同步增加实际血量。总体来说非常棒，很适合我这种不喜欢算牌又想放松玩的轻度玩家,True,1778391001,1778391001,184,160,True,False,0,0,0.5,0
225171356,schinese,good,True,1778390106,1778390106,367,367,True,False,0,0,0.5,0
225171152,schinese,纯纯爽游，砍瓜切菜,True,1778389852,1778389852,266,219,True,False,0,0,0.5,0
225171099,koreana,"뱀서처럼 그냥 부담없이 편하게 할수있어서 좋다.
특정 시점 지나면 비슷한 조합으로 한큐에 다 쓸어버리는게 대부분이라 빨리 질리는 단점이 있지만
핵앤슬레시 하는것마냥 시원시원하게 쓸어버리는 느낌도 있어서 좋았다. 
빨리 추가 컨텐츠나 내놔라.",True,1778389788,1778389788,1233,1233,True,False,0,0,0.5,0
225170640,english,"Bro...I spent money on this game on a whim...I got the most advanced games in the world on my steam list! I make good money! I got Cyberpunk, Helldivers with over 200 bucks spent on it, im telling you the list goes on! And when I get home all I want to do is play this game....Buy IT!",True,1778389173,1778389173,295,276,True,False,0,0,0.5,0
225170502,schinese,一个字 爽,True,1778389010,1778389010,512,512,True,False,0,0,0.5,0
225170171,schinese,这个游戏公司，毋庸置疑！！,True,1778388589,1778388589,1444,1444,True,False,0,0,0.5,0
225170080,schinese,一如既往的好玩好玩好玩~,True,1778388470,1778388470,583,583,True,False,0,0,0.5,0
225169878,english,this game is an absolute blast and i love playing it but its hard to recommend a product thats unstable to the point where it can hard crash my pc. hope the kinks get worked out sooner than later so i can dump more hours into it.,False,1778388192,1778388192,307,307,True,False,0,1,0.478087663650512695,0
225169597,schinese,"上手简单，操作直观，很容易获得“割草”般的爽感。不过与此同时，游戏的深度可能确实有点不足。局内的决策空间并不大，不同敌人和地图严格来说也没有本质区别。

你很难被这个游戏恶心到 —— 因为在局内的投入很低，挫败感自然也不高。但另一面是，成就感也同样薄弱。尤其到了中后期，重复的内容、过长的单局时间，再加上局内狭窄的决策空间，种种因素叠加起来，很容易让人感到疲惫。

总的来说，游戏制作合格，爽感十足。尤其是在前中期，非常适合闲暇时用来放空大脑。但如果你想追求有深度的策略挑战，那它可能就没法给你提供长期的乐趣了。

- [b]6 / 10[/b]",True,1778387838,1778387838,665,665,True,False,0,0,0.5,0
225169425,schinese,非常好的游戏，使我的G键松动。,True,1778387630,1778387630,1273,1273,True,False,0,0,0.5,0
225169184,japanese,ジオヴァーナの声がおっさん,False,1778387327,1778387327,351,351,True,False,0,0,0.47413790225982666,0
225168929,schinese,"一直在爽，爽到最后了，全成就了，直接圆满！
比起先抑几百小时然后爽几下，不如从头爽到尾！",True,1778387040,1778387040,1735,1734,True,False,0,0,0.5,0
225168340,schinese,"The game is good ,I like eat,and i want share with my girl friend,she want gansi me",True,1778386260,1778386260,669,599,True,False,0,0,0.5,0
225168114,english,"The crazy genius made a Garlic-like that is also a deck builder, then made it so you can not go infinite by having cards break if played 5 times in 1 turn and then death shows up to ruin your run. 10/10 would draw 100 cards in 1 turn and spent 10 minutes looking for the card I want. If you grew up with DOS 1st person dungeon crawlers you will also love this one.",True,1778385973,1778385973,1446,1446,True,False,1,0,0.52173912525177002,0
225167925,koreana,특정 시점 지나면 무한덱 되면서 노잼됨,True,1778385754,1778385754,494,494,True,False,0,0,0.5,0
225167536,latam,"Este juego es simplemente adictivo y divertido, y más cuando empiezas a desencadenar combos geniales.",True,1778385241,1778385241,880,880,True,False,0,0,0.5,0
225167459,english,"This game makes you want to take a bite out of your zero mana Beef Jerky, then your one mana Hot Pocket and finally your two mana Cool Ranch Dorito's for the perfect combo.",True,1778385156,1778385156,1706,1706,True,False,0,0,0.5,0
